1.0723,0.6908,1.0559,56.0590,42.2510
0.9970,0.6880,1.0516,67.3815,59.9882
0.9030,0.6842,1.0358,71.8853,67.5604
0.8162,0.6777,1.0306,74.3834,67.3247
0.7595,0.6720,1.0330,75.7092,68.6506
0.7148,0.6641,1.0218,77.3045,71.7737
0.6533,0.6589,1.0121,78.1652,71.4496
0.5938,0.6497,1.0258,78.9987,74.0130
0.5739,0.6463,1.0541,80.0804,77.5486
0.5376,0.6417,1.0881,80.6591,79.0807
0.5054,0.6401,1.1409,81.6336,79.8763
0.4714,0.6372,1.1859,82.6543,80.4950
0.4454,0.6371,1.2311,83.7213,81.3494
0.4171,0.6398,1.2786,84.7315,81.1137
0.3900,0.6438,1.2984,85.3018,81.9682
0.3819,0.6483,0.5982,86.4993,80.7307
0.3497,0.6550,0.6393,87.2653,78.6682
0.3254,0.6535,0.5932,87.9598,79.3459
0.3231,0.6652,0.6248,88.6228,77.6959
0.3005,0.6673,0.4817,89.0479,78.8156
0.2802,0.6733,0.4750,89.5888,77.9906
0.2746,0.6758,0.5535,90.2349,76.7236
0.2623,0.6822,0.5318,90.6852,74.0130
0.2350,0.6825,0.5284,90.9041,74.6906
0.2268,0.6841,0.5294,91.5818,72.9817
0.2434,0.6863,0.5225,92.3352,71.8326
0.2101,0.6866,0.5327,92.8992,70.8309
0.2031,0.6869,0.5409,93.2149,68.7390
0.1836,0.6851,0.5333,93.6800,68.8568
0.1796,0.6852,0.6060,94.0588,67.7372
0.1717,0.6844,0.5926,94.4566,67.2363
0.1560,0.6841,0.5903,94.7491,66.9711
0.1562,0.6828,0.5830,95.2458,66.6470
0.1450,0.6823,0.5788,95.6415,67.0301
0.1362,0.6828,0.5858,96.0918,66.0283
0.1274,0.6815,0.5930,96.3802,66.0872
0.1340,0.6797,0.5828,96.6138,66.2051
0.1107,0.6787,0.5736,96.8537,65.1149
0.1080,0.6793,0.5855,97.2157,65.4979
0.1029,0.6794,0.5817,97.3167,65.3506
0.0941,0.6773,0.5714,97.7776,65.1444
0.0858,0.6789,0.5598,98.1459,65.0560
0.0763,0.6799,0.5553,98.2364,64.8792
0.0737,0.6793,0.5495,98.5247,65.2033
0.0616,0.6809,0.5448,98.6152,65.0560
0.0610,0.6795,0.5393,98.7625,65.5863
0.0578,0.6798,0.5339,99.0487,66.3819
0.0506,0.6811,0.5361,99.1161,66.1167
0.0446,0.6808,0.5407,99.3728,67.2952
0.0439,0.6804,0.5387,99.4212,67.1774
0.0421,0.6804,0.5384,99.2634,66.2345
0.0346,0.6816,0.5283,99.5012,67.8550
0.0355,0.6818,0.5252,99.5223,68.1202
0.0329,0.6820,0.5269,99.6191,67.4131
0.0312,0.6834,0.5372,99.5559,67.4720
0.0282,0.6855,0.4540,99.6275,69.0631
0.0249,0.6856,0.4333,99.7895,70.7425
