1.1752,0.6714,1.6930,56.3788,63.9423,0.0000
0.9142,0.6451,1.8711,72.8880,73.5577,63.9423
0.5944,0.6221,2.5045,79.0694,60.3365,73.5577
0.5554,0.5929,2.8507,81.5591,72.5962,73.5577
0.4264,0.5905,3.0879,88.3328,61.5385,73.5577
0.3690,0.5764,3.7450,89.5862,65.6250,73.5577
0.2088,0.5822,4.3321,94.3080,71.0337,73.5577
0.2914,0.5787,4.7073,93.5010,71.0337,73.5577
0.1512,0.5673,4.3947,96.5058,71.0337,73.5577
0.1258,0.5707,4.9116,94.4368,61.6587,73.5577
0.1603,0.5789,5.6678,97.4588,66.1058,73.5577
0.1026,0.5748,6.1236,97.6906,69.8317,73.5577
0.0910,0.5837,6.3911,98.3431,68.9904,73.5577
0.0626,0.5916,6.5460,99.0127,70.1923,73.5577
0.0055,0.5789,6.8240,100.0000,69.3510,73.5577
0.0092,0.6707,0.2472,100.0000,69.8317,73.5577
0.1129,0.7066,0.5005,100.0000,65.0240,73.5577
0.1099,0.6218,0.6453,100.0000,54.4471,73.5577
0.0505,0.6168,0.3349,100.0000,58.0529,73.5577
0.0269,0.5939,0.3333,100.0000,56.4904,73.5577
0.0158,0.6564,0.2028,100.0000,63.4615,73.5577
0.8007,0.6092,0.9237,100.0000,58.2933,73.5577
0.1804,0.5571,0.3813,100.0000,59.1346,73.5577
0.3363,0.5923,1.1247,100.0000,51.9231,73.5577
0.3016,0.6201,1.1031,100.0000,65.1442,73.5577
0.1026,0.6050,0.7127,100.0000,68.0288,73.5577
0.0895,0.5832,0.4522,100.0000,66.1058,73.5577
0.1216,0.5889,0.1461,100.0000,61.6587,73.5577
0.0227,0.5762,0.3120,100.0000,67.5481,73.5577
0.0144,0.5685,0.2896,100.0000,68.2692,73.5577
0.0205,0.6064,0.5019,100.0000,70.1923,73.5577
0.0344,0.5995,0.3413,100.0000,61.6587,73.5577
0.0142,0.5822,0.3218,100.0000,70.1923,73.5577
0.0189,0.5666,0.3321,100.0000,70.9135,73.5577
0.0138,0.6594,0.1621,100.0000,68.6298,73.5577
0.0188,0.5923,0.2468,100.0000,61.6587,73.5577
0.0279,0.5471,0.1754,100.0000,70.9135,73.5577
0.0136,0.5752,0.4652,100.0000,71.2740,73.5577
0.0190,0.6130,0.1055,100.0000,70.3125,73.5577
0.0106,0.6402,0.5711,100.0000,70.3125,73.5577
0.0408,0.6478,0.4924,100.0000,66.2260,73.5577
